,Unnamed: 0,course_code,course_class,Rd1_TF,Rd1_rate,Rd0_TF,Rd0_rate,Rd2_TF,Rd2_rate,Rd3_TF,Rd3_rate
1800,17.0,PL4242HM,E1,False,3.25,True,0.8974358974358975,,,True,1.0
1801,,PL4245,L1,,,,,True,1.0,,
1802,1.0,PL4245HM,L1,True,0.5789473684210527,True,0.6266666666666667,True,0.3846153846153846,True,0.0833333333333333
1803,,PL4246,L1,,,,,False,4.0,False,inf
1804,,PL4246HM,L1,,,False,1.705128205128205,False,1.3333333333333333,False,17.0
1805,,PL4249,E1,,,,,True,0.8,,
1806,2.0,PL4249HM,E1,True,0.125,True,0.2285714285714285,True,0.0476190476190476,True,0.0476190476190476
1807,,PL4251,E1,,,,,True,0.0666666666666666,,
1808,3.0,PL4251HM,E1,True,0.0333333333333333,,,,,True,0.0416666666666666
1809,,PL4880F,E1,,,,,True,1.0,False,inf
1810,4.0,PL4880FHM,E1,True,0.8571428571428571,True,0.5263157894736842,True,0.6666666666666666,True,1.0
1811,,PL4880G,E1,,,,,,,True,0.5
1812,5.0,PL4880GHM,E1,True,0.5,True,0.6052631578947368,True,0.5,True,0.75
1813,,PL4880K,E1,,,,,False,2.0,True,1.0
1814,6.0,PL4880KHM,E1,True,0.2777777777777778,True,0.4594594594594595,True,0.1666666666666666,,
1815,,PL4880LHM,E1,,,True,0.2285714285714285,,,,
1816,,PL4880P,E1,,,,,,,True,0.1
1817,,PL4880PHM,E1,,,True,0.027027027027027,True,0.1034482758620689,True,0.1153846153846153
1818,,PL4880T,E1,,,,,True,0.6,True,0.5
1819,,PL4880THM,E1,,,True,0.4054054054054054,True,0.1578947368421052,True,0.0625
1820,,PL4880V,E1,,,,,,,True,0.1
1821,,PL4880VHM,E1,,,True,0.1351351351351351,True,0.0909090909090909,True,0.1052631578947368
1822,7.0,PLB1201,L1,True,0.2025316455696202,True,0.1444444444444444,True,0.7857142857142857,True,0.9
1823,8.0,PLS8001,EHE1,False,1.5,True,0.72,False,1.25,False,2.0
1824,9.0,PLS8001,EHE2,True,0.2608695652173913,True,0.08,True,0.5,False,1.375
1825,10.0,PLS8001,EHO2,True,0.0833333333333333,True,0.08,True,0.5238095238095238,True,1.0
1826,11.0,PLS8001,EME2,True,0.6111111111111112,True,0.36,False,1.125,False,1.5
1827,12.0,PLS8001,EMO1,False,3.6666666666666665,False,1.04,False,2.0,True,1.0
1828,13.0,PLS8001,EMO2,True,0.6,True,0.2,False,1.125,False,inf
1829,14.0,PLS8001,ETE1,False,1.1428571428571428,True,0.48,False,2.0,False,3.0
1830,15.0,PLS8001,ETO1,False,1.0833333333333333,True,0.52,False,8.0,False,3.0
1831,,PLS8001,EWO1,,,False,1.04,False,8.0,False,6.0
1832,16.0,PLS8001,EWO2,True,0.5416666666666666,True,0.04,True,0.8333333333333334,False,2.25
1833,17.0,PLS8002A,L1,False,3.608695652173913,True,0.872,False,6.125,False,5.0
1834,1.0,PLS8002B,L1,True,0.3738317757009345,True,0.16,False,1.018181818181818,False,3.2857142857142856
1835,2.0,PLS8003,EFE1,False,4.75,True,0.92,False,5.0,False,inf
1836,3.0,PLS8003,EFO1,False,9.0,False,1.32,False,4.0,False,4.666666666666667
1837,4.0,PLS8003,EFO2,True,0.8,True,0.2,False,2.0,False,1.4
1838,5.0,PLS8003,EHE1,False,2.7142857142857144,True,0.76,False,5.5,False,4.333333333333333
1839,6.0,PLS8003,EHO2,True,0.5652173913043478,True,0.12,False,1.3333333333333333,False,inf
1840,7.0,PLS8003,EME2,True,0.8947368421052632,True,0.24,False,1.2,False,5.0
1841,8.0,PLS8003,EMO1,False,10.0,True,1.0,False,3.0,False,inf
1842,9.0,PLS8003,EWE1,False,11.0,False,1.04,False,2.6666666666666665,False,2.5
1843,10.0,PLS8003,EWE2,True,0.5217391304347826,True,0.08,False,1.5,False,1.6666666666666667
1844,11.0,PLS8003,EWO2,True,0.217391304347826,True,0.12,True,1.0,False,2.5
1845,12.0,PLS8004,EFE1,False,5.0,False,1.24,,,False,6.0
1846,13.0,PLS8004,EFO1,False,15.0,False,1.24,False,9.0,False,6.5
1847,14.0,PLS8004,EHE1,False,4.2,True,1.0,False,3.3333333333333335,False,1.6666666666666667
1848,15.0,PLS8004,EHE2,True,0.0416666666666666,True,0.04,False,1.0869565217391304,False,3.0
1849,16.0,PLS8004,EHO2,True,0.5217391304347826,True,0.08,True,0.8571428571428571,True,0.5
1850,17.0,PLS8004,EME1,False,2.142857142857143,True,0.72,False,3.0,False,1.5
1851,1.0,PLS8004,EMO1,False,3.3333333333333335,False,1.04,False,3.0,False,3.5
1852,2.0,PLS8004,EMO2,True,0.8,True,0.24,False,3.0,False,2.0
1853,3.0,PLS8004,ETE2,True,0.65,True,0.2,True,1.0,False,5.0
1854,4.0,PLS8004,EWO2,False,1.2142857142857142,True,0.4,False,1.3333333333333333,False,2.0
1855,5.0,PLS8005,EFE1,False,4.0,True,0.84,False,2.5,False,inf
1856,6.0,PLS8005,EFO2,True,0.3181818181818182,True,0.12,True,1.0,False,4.0
1857,7.0,PLS8005,EHO1,False,2.0,True,0.76,False,3.3333333333333335,False,3.0
1858,8.0,PLS8005,EME1,False,1.5833333333333333,True,0.56,False,3.5,False,2.1666666666666665
1859,9.0,PLS8005,EME2,True,0.4,True,0.28,True,0.4166666666666667,True,0.375
1860,10.0,PLS8005,EMO2,True,0.15,True,0.2,True,0.631578947368421,True,1.0
1861,11.0,PLS8005,ETO2,True,0.3157894736842105,True,0.24,True,0.7142857142857143,False,1.8
1862,12.0,PLS8005,EWE1,True,1.0,True,0.28,False,2.0,False,2.5
1863,13.0,PLS8005,EWE2,True,0.1,True,0.2,True,0.8333333333333334,False,1.6
1864,14.0,PLS8005,EWO1,False,1.5833333333333333,True,0.52,False,1.6666666666666667,False,4.0
1865,17.0,PR4204,L1,True,0.1612903225806451,True,0.225,,,True,0.0384615384615384
1866,18.0,PR4205,L1,True,0.1304347826086956,True,0.2333333333333333,True,0.15,,
1867,10.0,PS1101E,L1,False,8.833333333333334,True,0.0454545454545454,,,False,29.0
1868,11.0,PS2237,L1,False,1.2142857142857142,True,0.8823529411764706,False,1.5,False,inf
1869,12.0,PS2238,L1,True,0.25,True,0.7,True,0.1739130434782608,True,0.4761904761904761
1870,13.0,PS2240,L1,True,0.2142857142857142,True,0.5058823529411764,True,0.2972972972972973,True,0.25
1871,14.0,PS2249,L1,True,0.48,True,0.775,True,0.5882352941176471,False,2.0
1872,15.0,PS2255,L1,True,0.358974358974359,True,0.5125,True,0.1923076923076923,True,0.1904761904761904
1873,16.0,PS2258,L1,False,7.0,False,1.162162162162162,,,False,inf
1874,17.0,PS3232,L1,True,0.2857142857142857,True,0.7045454545454546,True,0.2727272727272727,True,0.4444444444444444
1875,1.0,PS3237,L1,True,0.2,True,0.625,True,0.1515151515151515,True,0.2758620689655172
1876,2.0,PS3252,L1,True,0.2608695652173913,True,0.4864864864864865,True,0.1578947368421052,True,0.2
1877,3.0,PS3257,L1,True,0.3333333333333333,True,0.9411764705882352,True,0.25,True,0.6666666666666666
1878,4.0,PS3265,L1,True,0.0694444444444444,True,0.1647058823529411,True,0.0588235294117647,True,0.0153846153846153
1879,5.0,PS3271,L1,True,0.3076923076923077,True,0.4523809523809524,True,0.2352941176470588,True,0.2666666666666666
1880,6.0,PS3273,E1,True,0.5,True,0.7333333333333333,True,0.4285714285714285,True,0.1666666666666666
1881,7.0,PS3276,L1,True,0.4666666666666667,True,0.6285714285714286,True,0.2,True,0.375
